epoch,train_loss,val_loss,lr
1,3.54606189e-02,5.12042925e-02,1.00e-03
2,4.65402226e-04,5.04171071e-03,9.97e-04
3,1.77757355e-04,1.56071408e-04,9.89e-04
4,1.08851252e-04,8.50413593e-05,9.76e-04
5,7.48152109e-05,6.43002762e-05,9.57e-04
6,5.40851306e-05,5.43337316e-05,9.33e-04
7,4.16078273e-05,3.99367960e-05,9.05e-04
8,3.40436110e-05,2.96311013e-05,8.72e-04
9,2.84607881e-05,2.21618142e-05,8.35e-04
10,2.44673805e-05,1.92342185e-05,7.94e-04
11,2.43362171e-05,2.06004405e-05,7.50e-04
12,2.02211870e-05,1.68451254e-05,7.03e-04
13,1.86714984e-05,1.52159710e-05,6.55e-04
14,1.65742985e-05,1.78200720e-05,6.04e-04
15,1.98131903e-05,1.41718857e-05,5.52e-04
16,1.60743274e-05,1.43208450e-05,5.00e-04
17,1.65658451e-05,1.15894813e-05,4.48e-04
18,1.51460445e-05,1.06551415e-05,3.96e-04
19,1.49560067e-05,9.81517630e-06,3.45e-04
20,1.26594260e-05,9.63394604e-06,2.97e-04
21,1.30501609e-05,9.42630482e-06,2.50e-04
22,1.33056588e-05,9.37096502e-06,2.06e-04
23,1.39580029e-05,1.04947350e-05,1.65e-04
24,1.31877750e-05,8.63429638e-06,1.28e-04
25,1.06757089e-05,8.12016212e-06,9.55e-05
26,1.08576290e-05,8.03786798e-06,6.70e-05
27,1.07051034e-05,7.99250580e-06,4.32e-05
28,1.08365490e-05,8.04499189e-06,2.45e-05
29,1.04171363e-05,7.90253905e-06,1.09e-05
30,9.75509273e-06,7.89492001e-06,2.74e-06
