epoch,train_loss,val_loss,lr
1,2.41984557e-02,4.54177712e-02,1.00e-03
2,4.54468222e-04,2.77251321e-03,9.97e-04
3,1.44089537e-04,1.06587341e-04,9.89e-04
4,8.30329678e-05,6.45546830e-05,9.76e-04
5,5.28762077e-05,4.52517460e-05,9.57e-04
6,3.69846227e-05,3.33846974e-05,9.33e-04
7,2.94767324e-05,2.57638019e-05,9.05e-04
8,2.50323297e-05,2.22857561e-05,8.72e-04
9,2.15009284e-05,1.87540015e-05,8.35e-04
10,1.97395694e-05,1.85425608e-05,7.94e-04
11,1.85912131e-05,1.59989907e-05,7.50e-04
12,1.53606210e-05,1.36729117e-05,7.03e-04
13,1.54069133e-05,1.36059643e-05,6.55e-04
14,1.34570778e-05,1.16527385e-05,6.04e-04
15,1.35661464e-05,1.13492661e-05,5.52e-04
16,1.10322732e-05,9.95740769e-06,5.00e-04
17,1.11735609e-05,1.10322754e-05,4.48e-04
18,1.10688570e-05,9.70025372e-06,3.96e-04
19,1.03723387e-05,8.90813315e-06,3.45e-04
20,9.58773918e-06,8.28132951e-06,2.97e-04
21,9.14744046e-06,8.03425769e-06,2.50e-04
22,9.13372114e-06,8.08408202e-06,2.06e-04
23,9.49189802e-06,7.90138830e-06,1.65e-04
24,8.93770856e-06,7.82497688e-06,1.28e-04
25,8.89696787e-06,7.51655932e-06,9.55e-05
26,8.97798885e-06,7.42681435e-06,6.70e-05
27,8.46463623e-06,7.41044975e-06,4.32e-05
28,8.06920635e-06,7.23766950e-06,2.45e-05
29,7.91811887e-06,7.24333907e-06,1.09e-05
30,8.59797676e-06,7.21330821e-06,2.74e-06
