epoch,train_loss,val_loss,lr
1,2.44140189e-02,2.25999398e-02,1.00e-03
2,3.33929738e-04,2.21708853e-04,9.97e-04
3,1.08477743e-04,7.43272598e-05,9.89e-04
4,5.39770000e-05,3.66158367e-05,9.76e-04
5,3.42903497e-05,2.77349852e-05,9.57e-04
6,3.20458341e-05,2.19236786e-05,9.33e-04
7,2.77856022e-05,2.59858664e-05,9.05e-04
8,2.36043639e-05,1.74163365e-05,8.72e-04
9,1.85388013e-05,1.43062871e-05,8.35e-04
10,2.29143079e-05,2.07591659e-05,7.94e-04
11,1.74011115e-05,1.22674982e-05,7.50e-04
12,1.54368824e-05,1.09112864e-05,7.03e-04
13,1.41819228e-05,1.06713960e-05,6.55e-04
14,1.30093346e-05,1.20007919e-05,6.04e-04
15,1.28581635e-05,8.70244554e-06,5.52e-04
16,1.16561222e-05,8.12450468e-06,5.00e-04
17,1.00069377e-05,7.58328891e-06,4.48e-04
18,1.20039885e-05,5.36842550e-06,3.96e-04
19,1.09645099e-05,9.47572217e-06,3.45e-04
20,1.10059423e-05,5.76180779e-06,2.97e-04
21,9.55534462e-06,1.00637339e-05,2.50e-04
22,8.13618388e-06,4.84933113e-06,2.06e-04
23,9.85661225e-06,6.48691901e-06,1.65e-04
24,8.56701546e-06,4.44669709e-06,1.28e-04
25,9.82004131e-06,4.61039367e-06,9.55e-05
26,7.95365076e-06,3.93519852e-06,6.70e-05
27,6.25024494e-06,3.75162940e-06,4.32e-05
28,6.30509195e-06,3.82740592e-06,2.45e-05
29,7.58447053e-06,3.76938394e-06,1.09e-05
30,8.41733718e-06,3.73283809e-06,2.74e-06
